trial_id,current_policy_stockouts,current_policy_cost,optimized_policy_stockouts,optimized_policy_cost
0,72.0,1857.2909102158299,48.0,2102.610253746155
1,72.0,1948.501643776141,56.0,2264.315959273183
2,71.0,2114.4018006902525,52.0,2097.8668909454
3,85.0,1996.9460084023403,62.0,2064.349127742059
4,79.0,2076.514412536413,45.0,2062.2499897546545
5,85.0,2139.338449630566,62.0,2056.3134409041986
6,73.0,1950.539718576159,59.0,2106.551559886784
7,76.0,1988.9517497387155,53.0,2039.9764525122605
8,91.0,2093.843852553552,56.0,2133.755099377123
9,91.0,2032.4452796362195,63.0,2062.9416690951316
10,74.0,2028.3878959125757,64.0,2081.766130303053
11,88.0,2083.824247596811,54.0,2175.687818403747
12,75.0,2021.890904143221,54.0,2071.1751189771358
13,74.0,2055.56508544184,53.0,2013.7532651582142
14,78.0,1917.1182793116802,41.0,2035.5598153528429
15,76.0,2062.1723619821746,54.0,2192.6722514362964
16,78.0,2058.839165684895,56.0,2179.3982377461207
17,76.0,1982.6669349048982,56.0,2229.87586253504
18,77.0,2044.5692372271365,58.0,2138.0924194699987
19,65.0,2016.1690903437132,52.0,2110.74077001717
20,72.0,1901.3743581568085,64.0,2147.6970872915017
21,69.0,1875.6933414439004,51.0,2017.442468629127
22,83.0,2055.1858610671848,49.0,2043.5238477563641
23,69.0,1938.706559221721,68.0,2240.396620312197
24,77.0,2023.3880690174024,55.0,2095.8634118796317
25,67.0,2007.9111762123755,57.0,2065.051093383601
26,64.0,1987.8182434503658,60.0,2116.9260455540943
27,86.0,2029.0460590958346,48.0,2070.326753913982
28,56.0,1976.5259295661351,46.0,2133.4247634969356
29,78.0,2003.519108408297,54.0,2046.9503126985776
30,65.0,1909.198610008999,47.0,1971.2135627924436
31,73.0,2071.941045913529,52.0,2039.275691338005
32,79.0,2018.7396449310331,56.0,2058.184442899473
33,68.0,2046.3149209554135,61.0,2209.7914289433797
34,80.0,2004.8411669882803,45.0,2075.229980309482
35,73.0,2124.4387329922824,46.0,2155.0005611664105
36,68.0,1984.8185825592027,51.0,2110.0906415396166
37,62.0,2003.8663740400857,53.0,2079.874291631394
38,64.0,1944.9687556869796,46.0,1983.1435696970066
39,65.0,2074.4812530289164,54.0,1992.2711862149538
40,69.0,1946.2679901139588,51.0,2040.0077506475125
41,82.0,2090.0694934555736,61.0,2059.1361765978027
42,88.0,2063.954017177252,57.0,2157.31258090905
43,62.0,1949.6551601117205,54.0,2125.1732110655066
44,67.0,2037.4149159790156,48.0,2074.067970696991
45,65.0,2123.9620131588676,60.0,2124.8573012189736
46,85.0,2019.0345101546955,47.0,2145.8689882812846
47,65.0,1979.5677679304479,58.0,2225.2866330459797
48,63.0,1993.4142146842212,53.0,2075.420749375663
49,76.0,2026.8557765633732,60.0,2207.366072128161
50,70.0,2105.498234924244,57.0,2031.5937257752034
51,82.0,2076.986335110616,54.0,2121.8748457443567
52,74.0,1910.1670336596903,66.0,2193.4208332512494
53,68.0,2153.2054164255487,55.0,2062.45096643353
54,59.0,1937.0784533762555,52.0,2044.3508746259613
55,81.0,2260.3846801296695,61.0,2193.0161298887306
56,66.0,1996.4556468028757,54.0,2065.1989275662877
57,77.0,2150.263505073021,63.0,2223.6309733975168
58,80.0,2000.676679749175,46.0,1998.537623687769
59,76.0,2020.0266525642103,52.0,2052.688131959645
60,80.0,1992.0610669142968,64.0,2167.5315178318647
61,68.0,1950.8766066270111,58.0,2149.031390493045
62,67.0,1988.3719971798064,49.0,2026.460689591746
63,76.0,2184.233475292481,63.0,2124.693966021518
64,62.0,1882.1809043563603,55.0,2145.8232875405615
65,65.0,1922.7981803466816,58.0,2026.7017797074068
66,82.0,2141.4246172645458,52.0,2088.5736668253962
67,84.0,2248.572343719957,62.0,2049.0624445172307
68,76.0,2011.3511449421596,63.0,2083.1046127778477
69,87.0,2015.2624436582987,61.0,2093.1328024434083
70,63.0,1984.8557138537499,59.0,2106.6121435812993
71,83.0,2107.2792723909124,58.0,2286.7423179410926
72,67.0,1908.1019974596768,55.0,2108.8959883730327
73,76.0,2051.0873198780223,46.0,1993.4627239669092
74,87.0,1950.9771631584524,48.0,2086.3825914480203
75,83.0,2123.2573370770074,40.0,1974.6108696638223
76,82.0,2040.0939889035521,55.0,2029.126088096569
77,71.0,2045.5427991428846,57.0,2038.3763214030257
78,70.0,1976.5128097705165,58.0,2170.7774120275544
79,65.0,1977.0922919474808,60.0,2055.063229987967
80,63.0,1871.5865493370652,58.0,2083.0760128664915
81,65.0,1895.5823282859456,49.0,2019.7460732783982
82,64.0,1955.5811207561658,64.0,2149.154346881675
83,87.0,2165.3581321821166,52.0,2063.429161753761
84,81.0,1941.9471305621826,53.0,2048.986105692807
85,60.0,2023.8034689520123,74.0,2143.026573895606
86,75.0,2109.08473160179,63.0,2178.1609860153108
87,79.0,2016.1337085363748,56.0,2066.122640891914
88,67.0,2070.075533273518,65.0,2212.2489696565726
89,66.0,1925.6706918503417,48.0,2164.5388503917566
90,74.0,1931.4970470066871,72.0,2201.934754731482
91,72.0,2134.2746150640896,49.0,2099.075281968911
92,73.0,2050.6292672560658,63.0,2080.8691672572577
93,61.0,1864.3727401303636,58.0,1983.658866721978
94,60.0,2025.659218629831,61.0,2195.931355969113
95,72.0,2074.8717134656467,48.0,2121.837985331073
96,75.0,1935.4691501934267,55.0,2085.8344543714784
97,80.0,2037.430550653484,47.0,2112.8509778346156
98,67.0,2036.48965011067,53.0,2286.6909179890667
99,68.0,2046.1923142321386,62.0,2041.7272286415596
100,74.0,2021.966547622546,56.0,2074.115928129584
101,70.0,1903.8453791256345,47.0,1976.0869621092643
102,64.0,1917.4848516516379,51.0,2086.9518740016106
103,76.0,2130.122106333368,50.0,2023.118432904995
104,66.0,2048.2180235862697,65.0,2007.7903048292635
105,64.0,1994.679768604846,51.0,2041.6271075458076
106,75.0,1946.961515768326,58.0,2057.9289978624824
107,73.0,1999.916270124434,63.0,2148.434007933
108,79.0,2078.786917667589,49.0,2028.3497818209269
109,61.0,2008.8780097859917,72.0,2313.432024910773
110,74.0,1889.3516409510178,62.0,2081.7744551066485
111,64.0,1909.5027446387303,40.0,2087.561551132907
112,73.0,1968.2899423970175,47.0,2263.672257922018
113,81.0,2016.5679054051145,56.0,2132.0557744729313
114,88.0,2364.8433684265487,57.0,2146.598219436001
115,69.0,1927.0553720233627,57.0,2044.4045032387291
116,67.0,1962.4425572818623,56.0,2102.8476848978403
117,72.0,2238.1141731462317,40.0,2081.331042037807
118,69.0,1995.181435845804,50.0,2043.327330499971
119,87.0,2034.4024125425478,46.0,2014.0884057369942
120,75.0,1996.9163783569181,57.0,2062.5700942615617
121,85.0,2085.772023076433,64.0,2084.0607945709035
122,73.0,1965.994373164753,56.0,2300.6287049782086
123,81.0,2148.7550548327167,62.0,2195.462610582033
124,71.0,2120.7578314066363,68.0,2030.6910746805008
125,58.0,2077.2022202851003,56.0,2026.6091623587213
126,79.0,1991.7417984765898,54.0,2066.686901399957
127,62.0,2023.1037558407602,49.0,2207.9787694418287
128,78.0,2066.564174067377,50.0,2053.3958253059145
129,85.0,2059.3045341501224,56.0,2137.9190615150364
130,76.0,1953.5053642473074,57.0,2306.298882490286
131,64.0,1970.0090152159166,57.0,2196.978071792156
132,70.0,2100.893206143576,51.0,2008.3339290344754
133,78.0,2099.328419908971,60.0,2255.903970443046
134,81.0,1972.5698466909862,53.0,2043.8039030292364
135,74.0,1927.7507916160025,59.0,2160.4427584932782
136,80.0,2082.3603213957026,66.0,2114.5819315982912
137,77.0,1894.7273231048166,52.0,2085.377693495843
138,84.0,2060.394609424115,64.0,2080.422530518288
139,68.0,2002.4783677486314,65.0,2167.1154591733866
140,83.0,2065.6936454953784,60.0,2106.686325193517
141,77.0,1976.29948769005,50.0,2049.5200243867744
142,92.0,2004.147624746052,62.0,2200.04745491644
143,77.0,1989.6718434166903,55.0,2024.637973010396
144,67.0,1987.9891784734675,53.0,2009.5679927158496
145,60.0,1989.9573290069122,59.0,2138.798557719574
146,74.0,1961.5272523643553,47.0,2000.4772954169903
147,82.0,2156.970593516159,56.0,1988.4384907686413
148,75.0,1935.772187300199,63.0,2144.545689147448
149,72.0,2074.8017820398104,57.0,2147.5963141337947
150,73.0,2033.0761080496338,61.0,2277.475590967687
151,82.0,2024.2129752040992,61.0,2111.1670751097527
152,76.0,1968.3918864463246,66.0,2224.9887098641775
153,79.0,2049.512336440247,56.0,2130.0081603234285
154,78.0,2155.667787926068,59.0,2087.017163440518
155,72.0,1963.5072611895744,52.0,2080.2905303150123
156,70.0,1905.4366978033179,60.0,2167.2457113564
157,84.0,1998.6741175805594,47.0,2032.8697824276605
158,68.0,1982.8995779092863,51.0,2071.1264863086135
159,86.0,2124.3740053886904,49.0,2063.1077633217515
160,65.0,1875.0658271084799,68.0,2092.9241917630575
161,78.0,1901.4022509532483,53.0,2123.9319092242185
162,83.0,2094.5569221415612,50.0,2023.5543758036367
163,82.0,2074.03273680683,56.0,2128.8789073403404
164,65.0,1962.065989866348,53.0,2112.9707674627057
165,58.0,1864.9737808075065,46.0,2123.823858989075
166,70.0,2029.5344731672521,52.0,2118.79177815036
167,92.0,2117.9464329649413,46.0,2100.9961783468016
168,84.0,2235.304668781736,52.0,2120.0002769129587
169,62.0,2020.649222360522,58.0,2234.593055868414
170,77.0,2002.7390617551546,55.0,2163.43760816653
171,83.0,2067.336360154522,56.0,2079.295609626008
172,79.0,2162.105517227692,52.0,2069.951290411822
173,63.0,1959.8214227927972,44.0,1961.6938600580781
174,75.0,2231.474248956067,49.0,2098.5036720993953
175,86.0,2127.9325664767885,51.0,2084.9741967768487
176,67.0,1887.9347875382753,45.0,1973.612176962687
177,67.0,2182.4272089228825,53.0,2130.5343819965974
178,78.0,2131.314673810852,55.0,2182.622890575579
179,85.0,1970.1591480583427,58.0,2086.649423902362
180,66.0,2002.8955846057324,53.0,2017.2689237141692
181,67.0,1928.227714762526,59.0,2128.0369192728463
182,58.0,1987.9884268147744,65.0,2151.398826265289
183,65.0,2098.97687773856,49.0,2139.0620348452308
184,68.0,1873.9425222468092,52.0,2125.9715189930585
185,69.0,1884.3679300865306,47.0,2216.5627072052175
186,75.0,2073.877112465113,56.0,1995.7586461928831
187,63.0,2009.801783819852,53.0,2058.384888124055
188,75.0,1984.722183277914,49.0,2028.8685520310235
189,70.0,1952.381667618281,47.0,2066.135066452215
190,61.0,2004.316251325311,59.0,2106.8220205348644
191,66.0,1897.313241600956,50.0,2074.5088380197903
192,70.0,1942.113705154522,64.0,2236.856521051696
193,64.0,1985.4154521187409,43.0,2084.0536797329914
194,83.0,1863.0995186115742,66.0,2090.7467426587114
195,60.0,2025.8252839107288,45.0,2048.816981902058
196,90.0,2131.909108592861,56.0,2091.424058600748
