trial_id,current_policy_stockouts,current_policy_cost,optimized_policy_stockouts,optimized_policy_cost
0,72.0,1857.2909102158299,48.0,2101.5678281049754
1,72.0,1948.501643776141,59.0,2263.829176039955
2,71.0,2114.4018006902525,49.0,2097.508574943405
3,85.0,1996.9460084023403,62.0,2063.9460257136934
4,79.0,2076.514412536413,45.0,2062.941666013319
5,85.0,2139.338449630566,62.0,2055.9831545873844
6,73.0,1950.539718576159,59.0,2105.817969992425
7,76.0,1988.9517497387155,53.0,2039.8352299968208
8,91.0,2093.843852553552,56.0,2133.9709119229783
9,91.0,2032.4452796362195,63.0,2063.667166384353
10,74.0,2028.3878959125757,65.0,2081.9658998707605
11,88.0,2083.824247596811,56.0,2175.7782629268613
12,75.0,2021.890904143221,54.0,2070.9505779062906
13,74.0,2055.56508544184,54.0,2013.1618814263377
14,78.0,1917.1182793116802,40.0,2034.7784746395437
15,76.0,2062.1723619821746,54.0,2195.165112086486
16,78.0,2058.839165684895,56.0,2179.4350572401213
17,76.0,1982.6669349048982,58.0,2229.1032394584213
18,77.0,2044.5692372271365,58.0,2138.3443902472573
19,65.0,2016.1690903437132,52.0,2112.272928451289
20,72.0,1901.3743581568085,63.0,2147.3728600793384
21,69.0,1875.6933414439004,52.0,2017.1529094243892
22,83.0,2055.1858610671848,50.0,2044.013583533068
23,69.0,1938.706559221721,69.0,2241.4303772111093
24,77.0,2023.3880690174024,54.0,2097.357545709999
25,67.0,2007.9111762123755,56.0,2065.0788368677086
26,64.0,1987.8182434503658,59.0,2117.517537768205
27,86.0,2029.0460590958346,47.0,2071.093371549733
28,56.0,1976.5259295661351,46.0,2133.9590334376144
29,78.0,2003.519108408297,53.0,2046.4018164393608
30,65.0,1909.198610008999,47.0,1971.7602397050991
31,73.0,2071.941045913529,52.0,2039.5156188207336
32,79.0,2018.7396449310331,56.0,2057.724103447274
33,68.0,2046.3149209554135,62.0,2210.881224218319
34,80.0,2004.8411669882803,45.0,2074.7767423819305
35,73.0,2124.4387329922824,47.0,2155.132200147324
36,68.0,1984.8185825592027,51.0,2111.519218944749
37,62.0,2003.8663740400857,55.0,2078.4963169852413
38,64.0,1944.9687556869796,45.0,1982.878025921185
39,65.0,2074.4812530289164,54.0,1991.6986368036805
40,69.0,1946.2679901139588,51.0,2040.285990368456
41,82.0,2090.0694934555736,60.0,2059.5426488122175
42,88.0,2063.954017177252,56.0,2157.5372684615954
43,62.0,1949.6551601117205,54.0,2125.553818376597
44,67.0,2037.4149159790156,48.0,2073.9247679881937
